participant_id,session_id,wave,start_time,ra_id,ic,no_1,no_2,no_3,no_4,mi_1,mi_2,mi_3,mi_4,esoc_1,esoc_2,esoc_3,esoc_4,esoc_5,esoc_6,esoc_7,esoc_8,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,iclo_1,iclo_2,iclo_3,iclo_4,iclo_5,iclo_6,istate_1,istate_2,istate_3,istate_4,istate_5,istate_6,rwa_1,rwa_2,rwa_3,rwa_4,rwa_5,rwa_6,rwa_7,rwa_8,rwa_9,rwa_10,rwa_11,rwa_12,rwa_13,rwa_14,rwa_15,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,sdo_15,sdo_16,rz_1,rz_2,rz_3,rz_4,rz_5,rz_6,rz_7,rz_8,rz_9,rz_10,rz_11,rz_12,rz_13,rz_14,rz_15,rz_16,self_health,relative_health,self_rated_health,hp_1,hp_2,hp_3,bpjs_mandatory,bpjs_membership,bjps_service_class,bpjs_utility,healthcare_satisfaction,bpjs_deficit,bpjs_raise,hcw,hcw_healthcare_quality,future_use_bpjs,bpjs_benefits_1,bpjs_benefits_2,bpjs_benefits_3,bpjs_benefits_4,bpjs_benefits_5,at_jokowi,at_prabowo,hot_means,cold_means,which_candidates_intention,pol_behaviour,pol_interest,pol_info_1,pol_info_2,pol_info_3,pol_info_4,pol_info_5,pol_info_6,pol_info_7,attitude_2_politics,attitude_2_politicians,gender,age,household_income,edlevel,group_status,religion,occupation,ethnic_groups,city,dt_1,dt_2,dt_3,dt_4,dt_5,dt_6,dt_7,dt_8,dt_9,dt_10,dt_11,dt_12,dt_13,dt_14,dt_15,dt_16,dt_17,dt_18,dt_19,dt_20,dt_21,dt_22,dt_23,dt_24,dt_25,dt_26,dt_27,lt_1,lt_2,lt_3,lt_4,lt_5,lt_6,lt_7,lt_8,lt_9,lt_10,lt_11,lt_12,end_time,finished,q_viewer,lastpage,maxpage,missing,missrel,time_rsi,deg_time,wave_2_participation,,,,,,,,,,,,,,,,
741,404,1,11/26/2018 13:24,Dyah,TRUE,3,4,4,3,3,2,3,4,5,7,3,1,4,4,4,7,3,2,4,4,1,7,2,1,1,4,1,1,5,1,4,4,2,3,9,5,9,1,8,2,9,1,9,7,9,7,9,3,9,7,1,1,1,1,4,3,2,1,6,1,1,1,1,1,1,5,5,5,5,5,3,5,5,4,2,2,2,5,5,5,4,Tidak,Tidak,52,5,2,4,101,Ya,Kelas 1,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,73,1,27,95,1,Belum menentukan sikap,35,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2,2,1,20,0.3,2,51,2,6,Saya bagian dari 2 atau lebih kelompok etnis yang berbeda,Tomohon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/26/2018 14:00,TRUE,FALSE,19,19,0,0,0.8,3,TRUE,,,,,,,,,,,,,,,,
741,405,2,3/19/2019 9:25,Dyah,TRUE,2,4,4,1,3,2,3,3,4,4,3,1,4,5,4,6,3,3,4,3,2,3,4,1,1,2,3,2,1,1,3,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Kelas 1,Tidak pernah,NA,NA,NA,NA,NA,9,5,5,5,5,5,NA,NA,NA,NA,3,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0.3,2,51,2,6,Saya bagian dari 2 atau lebih kelompok etnis yang berbeda,Tomohon,5,4,3,5,5,4,5,4,5,2,4,2,1,3,5,2,5,3,2,5,1,2,2,2,5,1,1,5,3,5,4,5,3,4,5,5,5,4,4,3/19/2019 9:56,TRUE,FALSE,12,12,0,0,0.75,5,TRUE,,,,,,,,,,,,,,,,
672,369,1,11/26/2018 3:34,Dyah,TRUE,2,3,5,4,1,2,7,6,1,6,2,1,6,6,5,7,1,3,5,6,2,2,2,1,2,6,7,7,6,1,5,2,2,3,8,2,8,1,6,4,7,2,8,2,9,4,8,8,9,6,5,3,5,2,3,3,4,2,5,1,2,2,1,2,2,5,4,5,5,4,2,4,5,4,3,4,5,1,5,5,4,Tidak,Ya,93,4,3,2,20,Ya,Tidak tahu,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,15,36,63,91,3,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,77,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Youtube,2,2,2,21,0.7,2,59,1,6,Jawa,Surabaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/26/2018 4:17,TRUE,FALSE,19,19,0,0,0.7,5,TRUE,,,,,,,,,,,,,,,,
672,370,2,3/20/2019 5:17,Dyah,TRUE,3,3,5,5,1,3,6,5,2,7,3,2,6,3,5,6,2,3,6,5,3,3,6,2,2,6,6,6,5,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Tidak tahu,Tidak pernah,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,4,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,0.7,2,59,1,6,Jawa,Surabaya,2,2,2,4,4,2,4,2,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,4,2,2,4,4,5,4,4,4,5,5,5,4,5,4,3/20/2019 5:37,TRUE,FALSE,12,12,0,0,0.59,0,TRUE,,,,,,,,,,,,,,,,
964,517,1,12/1/2018 7:39,Wiwid,TRUE,5,4,5,3,7,6,6,5,7,5,5,7,5,6,6,3,7,4,4,7,5,4,5,1,5,7,5,5,6,1,7,4,5,3,9,3,9,2,8,4,9,1,8,3,9,1,9,4,9,7,5,5,5,1,1,2,7,5,7,7,6,1,1,2,1,5,4,5,4,5,4,5,5,4,3,4,3,1,5,5,5,Tidak,Tidak,81,5,3,4,101,Tidak,NA,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,81,41,61,61,1,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,61,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,4,4,2,18,1,2,41,2,6,Minang,Surabaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/1/2018 8:22,TRUE,FALSE,19,19,0,0,0.86,8,TRUE,,,,,,,,,,,,,,,,
964,518,2,3/22/2019 15:29,Dyah,TRUE,5,4,6,4,7,4,3,6,7,7,6,5,5,5,4,5,7,3,4,3,5,6,6,1,5,6,6,7,3,1,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Tidak tahu,Pernah,NA,NA,NA,NA,NA,8,4,4,3,3,4,NA,NA,NA,NA,1,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18,1,2,41,2,6,Minang,Surabaya,5,4,3,3,4,1,3,3,2,2,3,3,2,3,4,2,5,5,3,5,1,2,5,2,5,3,4,5,5,5,4,4,4,4,3,5,5,5,5,3/22/2019 15:51,TRUE,FALSE,12,12,0,0,0.63,0,TRUE,,,,,,,,,,,,,,,,
245,81,1,10/29/2018 4:30,Septi,TRUE,4,4,7,4,1,1,4,4,7,7,7,7,4,1,1,7,7,7,7,1,7,1,1,7,5,1,4,4,7,4,7,1,4,1,9,1,9,1,9,5,9,5,9,5,9,5,9,9,9,7,1,1,1,7,1,7,1,1,7,4,4,1,1,1,1,5,5,5,5,5,1,5,3,5,5,3,3,3,5,4,5,Tidak,Tidak,52,5,5,5,101,Tidak tahu,NA,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,55,54,101,101,6,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,3,3,2,19,1,2,56,1,5,Mbojo,Mataram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/29/2018 7:57,TRUE,FALSE,19,19,0,0,0.99,8,FALSE,,,,,,,,,,,,,,,,
637,352,1,11/25/2018 7:40,Retno,TRUE,3,3,5,2,7,4,2,4,7,7,4,3,4,3,4,4,3,1,3,4,7,4,1,2,1,4,4,7,2,1,4,5,4,3,9,2,9,1,8,5,9,2,9,4,9,5,8,2,9,6,3,2,5,3,3,3,1,4,4,4,3,2,2,2,2,5,5,3,4,3,1,5,3,3,1,5,3,5,4,4,3,Tidak,Tidak,96,4,4,4,101,Tidak tahu,NA,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,51,71,26,101,2,Belum menentukan sikap,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,3,3,1,19,1,2,26,3,6,Saya bagian dari 2 atau lebih kelompok etnis yang berbeda,Surabaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/2018 8:15,TRUE,FALSE,19,19,0,0,0.87,3,TRUE,,,,,,,,,,,,,,,,
637,353,2,3/24/2019 5:56,Ochy,TRUE,3,3,5,5,4,4,3,4,7,5,4,1,3,3,3,7,2,1,4,6,7,4,1,1,2,4,4,7,4,1,7,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Tidak tahu,Tidak pernah,NA,NA,NA,NA,NA,2,4,3,3,3,4,NA,NA,NA,NA,3,Belum menentukan sikap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,1,2,26,3,6,Saya bagian dari 2 atau lebih kelompok etnis yang berbeda,Surabaya,4,3,3,3,5,4,4,1,4,3,4,2,3,4,3,1,5,5,5,5,3,3,3,4,5,1,1,5,3,4,2,4,3,5,5,5,5,5,3,3/24/2019 6:18,TRUE,FALSE,12,12,0,0,0.69,0,TRUE,,,,,,,,,,,,,,,,
664,367,1,11/25/2018 15:39,Wiwid,TRUE,4,5,4,3,2,4,4,4,5,6,5,5,5,5,4,3,4,5,6,5,4,4,4,4,4,5,5,5,6,4,5,4,5,5,8,4,6,3,8,4,5,5,5,3,8,6,7,6,5,5,3,2,2,3,2,2,2,6,6,2,2,2,1,1,1,4,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,Tidak,Tidak,61,4,4,3,51,Tidak tahu,NA,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,52,46,50,70,11,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,62,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,4,2,2,19,1,2,69,9,6,Sasak,Malang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/2018 16:03,TRUE,FALSE,19,19,0,0,0.99,16,TRUE,,,,,,,,,,,,,,,,
664,368,2,3/19/2019 7:44,dyah,TRUE,4,5,5,3,4,5,5,3,6,7,5,6,4,4,4,5,6,6,6,3,5,3,6,6,6,4,6,6,4,4,6,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidak,NA,Tidak pernah,NA,NA,NA,NA,NA,5,3,3,3,3,3,NA,NA,NA,NA,10,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,1,2,69,9,6,Sasak,Malang,4,4,5,5,4,2,3,4,4,3,4,2,3,4,4,2,3,4,2,4,2,2,2,2,5,2,3,4,3,4,3,4,4,4,3,5,4,4,4,3/19/2019 7:59,TRUE,FALSE,12,12,0,0,0.99,13,TRUE,,,,,,,,,,,,,,,,
